time	V(v+)	V(v-)	V(vdd)	V(vout)	V(vref)
Step Information: Run=0  (Step: 1/16)
2.170814023781364e-01	2.473936e+00	1.321244e+00	3.300000e+00	3.298075e+00	1.650228e+00
2.200110898781364e-01	2.474526e+00	1.334854e+00	3.300000e+00	3.298076e+00	1.650545e+00
2.229407773781364e-01	2.473936e+00	1.348369e+00	3.300000e+00	3.298075e+00	1.650228e+00
2.258704648781364e-01	2.474526e+00	1.361791e+00	3.300000e+00	3.298076e+00	1.650545e+00
2.288001523781364e-01	2.473936e+00	1.375121e+00	3.300000e+00	3.298075e+00	1.650228e+00
2.317298398781364e-01	2.474526e+00	1.388359e+00	3.300000e+00	3.298076e+00	1.650545e+00
2.346595273781364e-01	2.473936e+00	1.401506e+00	3.300000e+00	3.298075e+00	1.650228e+00
2.375892148781364e-01	2.474526e+00	1.414563e+00	3.300000e+00	3.298076e+00	1.650545e+00
2.405189023781364e-01	2.473936e+00	1.427529e+00	3.300000e+00	3.298075e+00	1.650228e+00
2.434485898781364e-01	2.474526e+00	1.440407e+00	3.300000e+00	3.298076e+00	1.650545e+00
2.463782773781364e-01	2.473936e+00	1.453195e+00	3.300000e+00	3.298075e+00	1.650228e+00
2.493079648781364e-01	2.474526e+00	1.465896e+00	3.300000e+00	3.298077e+00	1.650545e+00
2.522376523781363e-01	2.473936e+00	1.478509e+00	3.300000e+00	3.298075e+00	1.650228e+00
2.551673398781363e-01	2.474526e+00	1.491036e+00	3.300000e+00	3.298077e+00	1.650545e+00
2.580970273781363e-01	2.473936e+00	1.503476e+00	3.300000e+00	3.298076e+00	1.650228e+00
2.610267148781363e-01	2.474526e+00	1.515830e+00	3.300000e+00	3.298077e+00	1.650545e+00
2.639564023781363e-01	2.473936e+00	1.528100e+00	3.300000e+00	3.298076e+00	1.650228e+00
2.668860898781363e-01	2.474526e+00	1.540285e+00	3.300000e+00	3.298077e+00	1.650545e+00
2.698157773781363e-01	2.473937e+00	1.552386e+00	3.300000e+00	3.298076e+00	1.650228e+00
2.727454648781363e-01	2.474526e+00	1.564404e+00	3.300000e+00	3.298077e+00	1.650545e+00
2.756751523781363e-01	2.473937e+00	1.576339e+00	3.300000e+00	3.298076e+00	1.650228e+00
2.786048398781363e-01	2.474526e+00	1.588192e+00	3.300000e+00	3.298077e+00	1.650545e+00
2.815345273781363e-01	2.473937e+00	1.599963e+00	3.300000e+00	3.298076e+00	1.650228e+00
2.844642148781363e-01	2.474526e+00	1.611653e+00	3.300000e+00	3.298077e+00	1.650545e+00
2.873939023781363e-01	2.473937e+00	1.623263e+00	3.300000e+00	3.298076e+00	1.650228e+00
2.903235898781363e-01	2.474526e+00	1.634793e+00	3.300000e+00	3.298077e+00	1.650545e+00
2.932532773781363e-01	2.473937e+00	1.646243e+00	3.300000e+00	3.298076e+00	1.650228e+00
2.961829648781363e-01	2.474526e+00	1.657615e+00	3.300000e+00	3.298077e+00	1.650545e+00
2.991126523781363e-01	2.473937e+00	1.668908e+00	3.300000e+00	3.298076e+00	1.650228e+00
3.020423398781363e-01	2.474526e+00	1.680124e+00	3.300000e+00	3.298078e+00	1.650545e+00
3.049720273781363e-01	2.473937e+00	1.691262e+00	3.300000e+00	3.298076e+00	1.650228e+00
3.079017148781363e-01	2.474526e+00	1.702324e+00	3.300000e+00	3.298078e+00	1.650545e+00
3.108314023781363e-01	2.473937e+00	1.713310e+00	3.300000e+00	3.298076e+00	1.650228e+00
3.137610898781363e-01	2.474527e+00	1.724220e+00	3.300000e+00	3.298078e+00	1.650545e+00
3.166907773781363e-01	2.473937e+00	1.735054e+00	3.300000e+00	3.298077e+00	1.650228e+00
3.196204648781363e-01	2.474527e+00	1.745815e+00	3.300000e+00	3.298078e+00	1.650545e+00
3.225501523781363e-01	2.473937e+00	1.756501e+00	3.300000e+00	3.298077e+00	1.650228e+00
3.254798398781363e-01	2.474527e+00	1.767114e+00	3.300000e+00	3.298078e+00	1.650545e+00
3.284095273781363e-01	2.473937e+00	1.777653e+00	3.300000e+00	3.298077e+00	1.650228e+00
3.313392148781363e-01	2.474527e+00	1.788120e+00	3.300000e+00	3.298078e+00	1.650545e+00
3.342689023781363e-01	2.473937e+00	1.798515e+00	3.300000e+00	3.298077e+00	1.650228e+00
3.371985898781363e-01	2.474527e+00	1.808838e+00	3.300000e+00	3.298078e+00	1.650545e+00
3.401282773781363e-01	2.473938e+00	1.819091e+00	3.300000e+00	3.298077e+00	1.650228e+00
3.430579648781363e-01	2.474527e+00	1.829273e+00	3.300000e+00	3.298078e+00	1.650545e+00
3.459876523781363e-01	2.473938e+00	1.839384e+00	3.300000e+00	3.298077e+00	1.650228e+00
3.489173398781363e-01	2.474527e+00	1.849426e+00	3.300000e+00	3.298078e+00	1.650545e+00
3.518470273781363e-01	2.473938e+00	1.859399e+00	3.300000e+00	3.298077e+00	1.650228e+00
3.547767148781363e-01	2.474527e+00	1.869303e+00	3.300000e+00	3.298078e+00	1.650545e+00
3.577064023781363e-01	2.473938e+00	1.879139e+00	3.300000e+00	3.298077e+00	1.650228e+00
3.606360898781363e-01	2.474527e+00	1.888908e+00	3.300000e+00	3.298079e+00	1.650545e+00
3.635657773781363e-01	2.473938e+00	1.898609e+00	3.300000e+00	3.298077e+00	1.650228e+00
3.664954648781363e-01	2.474527e+00	1.908243e+00	3.300000e+00	3.298079e+00	1.650545e+00
3.694251523781363e-01	2.473938e+00	1.917811e+00	3.300000e+00	3.298077e+00	1.650228e+00
3.723548398781363e-01	2.474527e+00	1.927313e+00	3.300000e+00	3.298079e+00	1.650545e+00
3.752845273781363e-01	2.473938e+00	1.936750e+00	3.300000e+00	3.298078e+00	1.650228e+00
3.782142148781363e-01	2.474527e+00	1.946122e+00	3.300000e+00	3.298079e+00	1.650545e+00
3.811439023781363e-01	2.473938e+00	1.955429e+00	3.300000e+00	3.298078e+00	1.650228e+00
3.840735898781363e-01	2.474527e+00	1.964672e+00	3.300000e+00	3.298079e+00	1.650545e+00
3.870032773781363e-01	2.473938e+00	1.973852e+00	3.300000e+00	3.298078e+00	1.650228e+00
3.899329648781363e-01	2.474527e+00	1.982968e+00	3.300000e+00	3.298079e+00	1.650545e+00
3.928626523781363e-01	2.473938e+00	1.992022e+00	3.300000e+00	3.298078e+00	1.650228e+00
3.957923398781363e-01	2.474527e+00	2.001013e+00	3.300000e+00	3.298079e+00	1.650545e+00
3.987220273781363e-01	2.473938e+00	2.009942e+00	3.300000e+00	3.298078e+00	1.650228e+00
4.016517148781363e-01	2.474527e+00	2.018810e+00	3.300000e+00	3.298079e+00	1.650545e+00
4.045814023781363e-01	2.473938e+00	2.027617e+00	3.300000e+00	3.298078e+00	1.650228e+00
4.075110898781363e-01	2.474527e+00	2.036363e+00	3.300000e+00	3.298079e+00	1.650545e+00
4.104407773781363e-01	2.473938e+00	2.045049e+00	3.300000e+00	3.298078e+00	1.650228e+00
4.133704648781363e-01	2.474527e+00	2.053675e+00	3.300000e+00	3.298079e+00	1.650545e+00
4.163001523781363e-01	2.473938e+00	2.062242e+00	3.300000e+00	3.298078e+00	1.650228e+00
4.192298398781363e-01	2.474527e+00	2.070750e+00	3.300000e+00	3.298079e+00	1.650545e+00
4.221595273781363e-01	2.473938e+00	2.079199e+00	3.300000e+00	3.298078e+00	1.650228e+00
4.250892148781363e-01	2.474527e+00	2.087590e+00	3.300000e+00	3.298079e+00	1.650545e+00
4.280189023781363e-01	2.473938e+00	2.095923e+00	3.300000e+00	3.298078e+00	1.650228e+00
4.309485898781363e-01	2.474527e+00	2.104199e+00	3.300000e+00	3.298079e+00	1.650545e+00
4.338782773781363e-01	2.473939e+00	2.112418e+00	3.300000e+00	3.298078e+00	1.650228e+00
4.368079648781363e-01	2.474527e+00	2.120581e+00	3.300000e+00	3.298079e+00	1.650545e+00
4.397376523781363e-01	2.473939e+00	2.128687e+00	3.300000e+00	3.298078e+00	1.650228e+00
4.426673398781363e-01	2.474527e+00	2.136738e+00	3.300000e+00	3.298079e+00	1.650545e+00
4.455970273781363e-01	2.473939e+00	2.144732e+00	3.300000e+00	3.298078e+00	1.650228e+00
4.485267148781363e-01	2.474527e+00	2.152673e+00	3.300000e+00	3.298079e+00	1.650545e+00
4.514564023781363e-01	2.473939e+00	2.160558e+00	3.300000e+00	3.298079e+00	1.650228e+00
4.543860898781363e-01	2.474527e+00	2.168389e+00	3.300000e+00	3.298080e+00	1.650545e+00
4.573157773781363e-01	2.473939e+00	2.176166e+00	3.300000e+00	3.298079e+00	1.650228e+00
4.602454648781363e-01	2.474527e+00	2.183889e+00	3.300000e+00	3.298080e+00	1.650545e+00
4.631751523781363e-01	2.473939e+00	2.191560e+00	3.300000e+00	3.298079e+00	1.650228e+00
4.661048398781363e-01	2.474527e+00	2.199177e+00	3.300000e+00	3.298080e+00	1.650545e+00
4.690345273781363e-01	2.473939e+00	2.206743e+00	3.300000e+00	3.298079e+00	1.650228e+00
4.719642148781363e-01	2.474527e+00	2.214256e+00	3.300000e+00	3.298080e+00	1.650545e+00
4.748939023781363e-01	2.473939e+00	2.221717e+00	3.300000e+00	3.298079e+00	1.650228e+00
