run	t_period
2.090000000000000e+02	9.364216e-01
2.100000000000000e+02	1.022078e+00
2.110000000000000e+02	9.693106e-01
2.120000000000000e+02	9.657343e-01
2.130000000000000e+02	9.976999e-01
2.140000000000000e+02	1.045049e+00
2.150000000000000e+02	1.002014e+00
2.160000000000000e+02	1.021118e+00
2.170000000000000e+02	1.017253e+00
2.180000000000000e+02	1.037452e+00
2.190000000000000e+02	9.502410e-01
2.200000000000000e+02	9.701624e-01
2.210000000000000e+02	9.948565e-01
2.220000000000000e+02	9.692354e-01
2.230000000000000e+02	9.892811e-01
2.240000000000000e+02	1.037017e+00
2.250000000000000e+02	1.039972e+00
2.260000000000000e+02	1.031716e+00
2.270000000000000e+02	1.033431e+00
2.280000000000000e+02	1.005799e+00
2.290000000000000e+02	9.553884e-01
2.300000000000000e+02	9.726865e-01
2.310000000000000e+02	1.035646e+00
2.320000000000000e+02	1.037859e+00
2.330000000000000e+02	9.892731e-01
2.340000000000000e+02	9.728385e-01
2.350000000000000e+02	9.856471e-01
2.360000000000000e+02	9.918538e-01
2.370000000000000e+02	9.743171e-01
2.380000000000000e+02	9.796305e-01
2.390000000000000e+02	9.568760e-01
2.400000000000000e+02	9.937078e-01
2.410000000000000e+02	9.519301e-01
2.420000000000000e+02	9.688888e-01
2.430000000000000e+02	9.478998e-01
2.440000000000000e+02	1.023516e+00
2.450000000000000e+02	9.741791e-01
2.460000000000000e+02	9.770411e-01
2.470000000000000e+02	1.018847e+00
2.480000000000000e+02	9.826391e-01
2.490000000000000e+02	9.412429e-01
2.500000000000000e+02	9.709448e-01
2.510000000000000e+02	1.031622e+00
2.520000000000000e+02	9.889936e-01
2.530000000000000e+02	1.038363e+00
2.540000000000000e+02	1.033337e+00
2.550000000000000e+02	9.709587e-01
2.560000000000000e+02	9.916580e-01
2.570000000000000e+02	9.685977e-01
2.580000000000000e+02	9.878691e-01
2.590000000000000e+02	1.034908e+00
2.600000000000000e+02	9.500723e-01
2.610000000000000e+02	9.529234e-01
2.620000000000000e+02	1.032813e+00
2.630000000000000e+02	1.024317e+00
2.640000000000000e+02	9.721721e-01
2.650000000000000e+02	1.044460e+00
2.660000000000000e+02	9.531323e-01
2.670000000000000e+02	9.456198e-01
2.680000000000000e+02	9.731616e-01
2.690000000000000e+02	9.928685e-01
2.700000000000000e+02	1.017675e+00
2.710000000000000e+02	9.840489e-01
2.720000000000000e+02	1.003515e+00
2.730000000000000e+02	1.044959e+00
2.740000000000000e+02	1.034227e+00
2.750000000000000e+02	9.671379e-01
2.760000000000000e+02	9.865471e-01
2.770000000000000e+02	1.028315e+00
2.780000000000000e+02	9.917277e-01
2.790000000000000e+02	1.040529e+00
2.800000000000000e+02	9.775881e-01
2.810000000000000e+02	1.024864e+00
2.820000000000000e+02	9.967670e-01
2.830000000000000e+02	1.027225e+00
2.840000000000000e+02	1.028860e+00
2.850000000000000e+02	1.025169e+00
2.860000000000000e+02	1.027397e+00
2.870000000000000e+02	1.002308e+00
2.880000000000000e+02	1.008566e+00
2.890000000000000e+02	9.573810e-01
2.900000000000000e+02	9.987470e-01
2.910000000000000e+02	1.030136e+00
2.920000000000000e+02	9.562129e-01
2.930000000000000e+02	9.478906e-01
2.940000000000000e+02	9.507884e-01
2.950000000000000e+02	1.024389e+00
2.960000000000000e+02	1.032195e+00
2.970000000000000e+02	9.744721e-01
2.980000000000000e+02	9.767781e-01
2.990000000000000e+02	9.815144e-01
3.000000000000000e+02	9.716726e-01
3.010000000000000e+02	1.023423e+00
3.020000000000000e+02	1.029995e+00
3.030000000000000e+02	1.042421e+00
3.040000000000000e+02	9.623955e-01
3.050000000000000e+02	9.471970e-01
3.060000000000000e+02	1.015209e+00
3.070000000000000e+02	9.792089e-01
3.080000000000000e+02	9.774081e-01
3.090000000000000e+02	1.016566e+00
3.100000000000000e+02	9.535970e-01
3.110000000000000e+02	1.015048e+00
3.120000000000000e+02	1.039157e+00
3.130000000000000e+02	1.025116e+00
3.140000000000000e+02	9.511209e-01
3.150000000000000e+02	9.479676e-01
3.160000000000000e+02	1.023867e+00
3.170000000000000e+02	9.620355e-01
3.180000000000000e+02	1.014056e+00
3.190000000000000e+02	9.828321e-01
3.200000000000000e+02	1.005194e+00
3.210000000000000e+02	1.021057e+00
3.220000000000000e+02	9.736595e-01
3.230000000000000e+02	1.015278e+00
3.240000000000000e+02	1.038789e+00
3.250000000000000e+02	9.790354e-01
3.260000000000000e+02	9.554059e-01
3.270000000000000e+02	1.002158e+00
3.280000000000000e+02	9.488450e-01
3.290000000000000e+02	9.738916e-01
3.300000000000000e+02	9.482617e-01
3.310000000000000e+02	9.514105e-01
3.320000000000000e+02	1.022774e+00
3.330000000000000e+02	9.718709e-01
3.340000000000000e+02	9.893970e-01
3.350000000000000e+02	9.841542e-01
3.360000000000000e+02	9.914411e-01
3.370000000000000e+02	9.812554e-01
3.380000000000000e+02	1.006312e+00
3.390000000000000e+02	9.561199e-01
3.400000000000000e+02	9.808916e-01
3.410000000000000e+02	9.841359e-01
3.420000000000000e+02	9.558476e-01
3.430000000000000e+02	1.037769e+00
3.440000000000000e+02	9.389457e-01
3.450000000000000e+02	9.746175e-01
3.460000000000000e+02	9.846631e-01
3.470000000000000e+02	1.036612e+00
3.480000000000000e+02	1.020488e+00
3.490000000000000e+02	9.967116e-01
3.500000000000000e+02	9.774114e-01
3.510000000000000e+02	1.009075e+00
3.520000000000000e+02	1.011302e+00
