time	V(vout)
Step Information: Run=0  (Step: 1/9)
5.634282608640022e-01	3.651896e-03
5.641737479647952e-01	3.649459e-03
5.656647221663812e-01	3.645994e-03
5.685944096663812e-01	3.637845e-03
5.715240971663812e-01	3.630684e-03
5.744537846663812e-01	3.622646e-03
5.773834721663812e-01	3.615595e-03
5.803131596663812e-01	3.607665e-03
5.832428471663812e-01	3.600721e-03
5.861725346663812e-01	3.592899e-03
5.891022221663812e-01	3.586062e-03
5.920319096663812e-01	3.578346e-03
5.949615971663812e-01	3.571613e-03
5.978912846663812e-01	3.564001e-03
6.008209721663812e-01	3.557371e-03
6.037506596663812e-01	3.549862e-03
6.066803471663812e-01	3.543334e-03
6.096100346663812e-01	3.535926e-03
6.125397221663812e-01	3.529499e-03
6.154694096663812e-01	3.522190e-03
6.183990971663812e-01	3.515862e-03
6.213287846663812e-01	3.508652e-03
6.242584721663812e-01	3.502421e-03
6.271881596663812e-01	3.495308e-03
6.301178471663812e-01	3.489173e-03
6.330475346663812e-01	3.482156e-03
6.359772221663812e-01	3.476115e-03
6.389069096663812e-01	3.469192e-03
6.418365971663812e-01	3.463245e-03
6.447662846663812e-01	3.456414e-03
6.476959721663812e-01	3.450559e-03
6.506256596663812e-01	3.443820e-03
6.535553471663812e-01	3.438056e-03
6.564850346663812e-01	3.431407e-03
6.594147221663812e-01	3.425732e-03
6.623444096663812e-01	3.419172e-03
6.652740971663812e-01	3.413585e-03
6.682037846663812e-01	3.407113e-03
6.711334721663812e-01	3.401613e-03
6.740631596663812e-01	3.395227e-03
6.769928471663812e-01	3.389812e-03
6.799225346663812e-01	3.383511e-03
6.828522221663812e-01	3.378181e-03
6.857819096663812e-01	3.371964e-03
6.887115971663812e-01	3.366717e-03
6.916412846663812e-01	3.360583e-03
6.945709721663812e-01	3.355417e-03
6.975006596663812e-01	3.349365e-03
7.004303471663812e-01	3.344280e-03
7.033600346663812e-01	3.338308e-03
7.062897221663812e-01	3.333303e-03
7.092194096663812e-01	3.327410e-03
7.121490971663812e-01	3.322483e-03
7.150787846663812e-01	3.316668e-03
7.180084721663812e-01	3.311818e-03
7.209381596663812e-01	3.306081e-03
7.238678471663812e-01	3.301307e-03
7.267975346663812e-01	3.295645e-03
7.297272221663812e-01	3.290947e-03
7.326569096663812e-01	3.285360e-03
7.355865971663812e-01	3.280735e-03
7.385162846663812e-01	3.275222e-03
7.414459721663812e-01	3.270670e-03
7.443756596663812e-01	3.265230e-03
7.473053471663812e-01	3.260750e-03
7.502350346663812e-01	3.255381e-03
7.531647221663812e-01	3.250972e-03
7.560944096663812e-01	3.245673e-03
7.590240971663812e-01	3.241334e-03
7.619537846663812e-01	3.236105e-03
7.648834721663812e-01	3.231835e-03
7.678131596663812e-01	3.226675e-03
7.707428471663812e-01	3.222472e-03
7.736725346663812e-01	3.217379e-03
7.766022221663812e-01	3.213244e-03
7.795319096663812e-01	3.208217e-03
7.824615971663812e-01	3.204148e-03
7.853912846663812e-01	3.199187e-03
7.883209721663812e-01	3.195183e-03
7.912506596663812e-01	3.190287e-03
7.941803471663812e-01	3.186346e-03
7.971100346663812e-01	3.181514e-03
8.000397221663812e-01	3.177637e-03
8.029694096663812e-01	3.172867e-03
8.058990971663812e-01	3.169052e-03
8.088287846663812e-01	3.164345e-03
8.117584721663812e-01	3.160591e-03
8.146881596663812e-01	3.155944e-03
8.176178471663812e-01	3.152251e-03
8.205475346663812e-01	3.147665e-03
8.234772221663812e-01	3.144031e-03
8.264069096663812e-01	3.139504e-03
8.293365971663812e-01	3.135929e-03
8.322662846663812e-01	3.131460e-03
8.351959721663812e-01	3.127943e-03
8.381256596663812e-01	3.123533e-03
8.410553471663812e-01	3.120072e-03
8.439850346663812e-01	3.115718e-03
8.469147221663812e-01	3.112314e-03
8.498444096663812e-01	3.108016e-03
8.527740971663812e-01	3.104667e-03
8.557037846663812e-01	3.100425e-03
8.586334721663812e-01	3.097130e-03
8.615631596663812e-01	3.092942e-03
8.644928471663812e-01	3.089702e-03
8.674225346663812e-01	3.085567e-03
8.703522221663812e-01	3.082380e-03
8.732819096663812e-01	3.078298e-03
8.762115971663812e-01	3.075163e-03
8.791412846663812e-01	3.071134e-03
8.820709721663812e-01	3.068050e-03
8.850006596663812e-01	3.064072e-03
8.879303471663812e-01	3.061039e-03
8.908600346663812e-01	3.057111e-03
8.937897221663812e-01	3.054128e-03
8.967194096663812e-01	3.050251e-03
8.996490971663812e-01	3.047317e-03
9.025787846663812e-01	3.043489e-03
9.055084721663812e-01	3.040604e-03
9.084381596663812e-01	3.036824e-03
9.113678471663812e-01	3.033987e-03
9.142975346663812e-01	3.030255e-03
9.172272221663812e-01	3.027465e-03
9.201569096663812e-01	3.023780e-03
9.230865971663812e-01	3.021037e-03
9.260162846663812e-01	3.017398e-03
9.289459721663812e-01	3.014700e-03
9.318756596663812e-01	3.011108e-03
9.348053471663812e-01	3.008456e-03
9.377350346663812e-01	3.004908e-03
9.406647221663812e-01	3.002300e-03
9.435944096663812e-01	2.998797e-03
9.465240971663812e-01	2.996233e-03
9.494537846663812e-01	2.992774e-03
9.523834721663812e-01	2.990253e-03
9.553131596663812e-01	2.986837e-03
9.582428471663812e-01	2.984359e-03
9.611725346663812e-01	2.980985e-03
9.641022221663812e-01	2.978550e-03
9.670319096663812e-01	2.975271e-03
9.699615971663812e-01	2.972947e-03
9.728912846663812e-01	2.969725e-03
9.758209721663812e-01	2.967440e-03
9.787506596663812e-01	2.964259e-03
9.816803471663812e-01	2.962013e-03
9.846100346663812e-01	2.958871e-03
9.875397221663812e-01	2.956664e-03
9.904694096663812e-01	2.953561e-03
9.933990971663812e-01	2.951392e-03
9.963287846663812e-01	2.948327e-03
9.966949956038812e-01	2.948232e-03
9.974274174788812e-01	2.947583e-03
9.988922612288812e-01	2.946290e-03
1.001821948728881e+00	2.943718e-03
1.004751636228881e+00	2.941164e-03
1.007681323728881e+00	2.938628e-03
1.008047534666381e+00	2.961241e-03
1.008139087400756e+00	2.969485e-03
1.008322192869506e+00	2.991154e-03
1.008367969236694e+00	2.998515e-03
1.008459521971069e+00	3.014531e-03
1.008482410154662e+00	3.019021e-03
1.008528186521850e+00	3.028326e-03
1.008539630613647e+00	3.030773e-03
1.008542491636596e+00	3.031387e-03
1.008548213682494e+00	3.032621e-03
1.008549644193969e+00	3.032932e-03
1.008552505216918e+00	3.033554e-03
1.008558227262817e+00	3.531981e-03
1.008559657774291e+00	3.937646e-03
1.008559702477775e+00	3.950364e-03
1.008559791884742e+00	3.975884e-03
1.008559970698676e+00	4.027429e-03
1.008559987220965e+00	4.032229e-03
1.008560020265543e+00	8.012878e-03
1.008560086354699e+00	2.292772e-02
1.008560170405013e+00	6.701188e-02
1.008560191417591e+00	8.809365e-02
1.008560233442748e+00	1.430832e-01
1.008560317493061e+00	4.009350e-01
1.008560334484839e+00	4.958431e-01
1.008560338732783e+00	5.207579e-01
1.008560347228672e+00	5.730844e-01
1.008560364220449e+00	6.942928e-01
1.008560364751443e+00	6.984668e-01
1.008560364884191e+00	6.995118e-01
1.008560365149687e+00	7.016050e-01
1.008560365216062e+00	7.021294e-01
1.008560365348810e+00	7.031791e-01
1.008560365614306e+00	7.052827e-01
1.008560366145299e+00	7.094899e-01
1.008560367207285e+00	7.177978e-01
1.008560369331257e+00	7.338339e-01
1.008560373579202e+00	7.639579e-01
1.008560382075091e+00	8.202103e-01
1.008560399066868e+00	9.284754e-01
1.008560433050423e+00	1.143727e+00
1.008560441546312e+00	1.197606e+00
1.008560458538090e+00	1.305337e+00
1.008560492521645e+00	1.520780e+00
1.008560560488755e+00	1.951766e+00
1.008560696422976e+00	2.813993e+00
1.008560730406531e+00	3.029602e+00
1.008560738902420e+00	3.083505e+00
1.008560755894197e+00	3.191312e+00
1.008560760142141e+00	3.218264e+00
1.008560768638030e+00	3.272169e+00
1.008560770762002e+00	3.285645e+00
1.008560771292995e+00	3.289015e+00
1.008560772354982e+00	3.295753e+00
1.008560772620478e+00	3.297004e+00
1.008560773151471e+00	3.297344e+00
1.008560774213457e+00	3.297100e+00
1.008560776337429e+00	3.297357e+00
1.008560780585374e+00	3.297199e+00
1.008560789081263e+00	3.297522e+00
1.008560806073040e+00	3.297544e+00
1.008560840056595e+00	3.298201e+00
1.008560908023705e+00	3.298899e+00
1.008561043957926e+00	3.298384e+00
1.008561315826367e+00	3.298232e+00
1.008561859563249e+00	3.298453e+00
1.008562873813633e+00	3.298271e+00
1.008564336293822e+00	3.298485e+00
1.008567261254200e+00	3.298328e+00
1.008567992494295e+00	3.298434e+00
1.008569454974485e+00	3.298445e+00
1.008572379934863e+00	3.298445e+00
1.008575069695431e+00	3.298445e+00
1.008580449216567e+00	3.298445e+00
1.008591208258838e+00	3.298445e+00
1.008612726343380e+00	3.298445e+00
